名前,id,サブアイテム,ステータス,タスクアウトプット,担当者,日付,次のタスクにより保留中：,次のタスクを保留中：,親アイテム
成果物2: コスト分析(M1),1.2,"コスト明細データ取得 (https://www.notion.so/2adea0be07e48145a9c2e207394946e4?pvs=21), レポート作成とレビュー (https://www.notion.so/2adea0be07e481faa4d5c65dcd583c60?pvs=21), 「削減仮説」策定 (https://www.notion.so/2adea0be07e4814eb2c3dbbad283a3e4?pvs=21), 「外注構造マップ」作成 (https://www.notion.so/2adea0be07e4810bad6dc52438720b4f?pvs=21), 全コスト明細の分類作業 (https://www.notion.so/2adea0be07e48153a65fffe37c18e567?pvs=21), コスト分類ルール設計 (https://www.notion.so/2adea0be07e4813e96d6f588599b4a23?pvs=21)",,,,,,,
コスト明細データ取得,1.2.1,,未着手,,,2025年12月17日,,,成果物2: コスト分析(M1) (https://www.notion.so/2-M1-2adea0be07e4812eb46efafe9097f9e6?pvs=21)
コスト分類ルール設計,1.2.2,,未着手,,,2025年12月17日,,,成果物2: コスト分析(M1) (https://www.notion.so/2-M1-2adea0be07e4812eb46efafe9097f9e6?pvs=21)
全コスト明細の分類作業,1.2.3,,未着手,,,2025年12月22日,,,成果物2: コスト分析(M1) (https://www.notion.so/2-M1-2adea0be07e4812eb46efafe9097f9e6?pvs=21)
「外注構造マップ」作成,1.2.4,,未着手,,,2026年1月7日,,,成果物2: コスト分析(M1) (https://www.notion.so/2-M1-2adea0be07e4812eb46efafe9097f9e6?pvs=21)
「削減仮説」策定,1.2.5,,未着手,,,2026年1月14日,,,成果物2: コスト分析(M1) (https://www.notion.so/2-M1-2adea0be07e4812eb46efafe9097f9e6?pvs=21)
レポート作成とレビュー,1.2.6,,未着手,,,2026年1月21日,,,成果物2: コスト分析(M1) (https://www.notion.so/2-M1-2adea0be07e4812eb46efafe9097f9e6?pvs=21)
成果物3: KPIマップ(M2),1.3,"レビューと承認 (https://www.notion.so/2adea0be07e481e3806fe27bf5720317?pvs=21), 「経営判断マップ」作成（PL、 コスト、 KPIの統合） (https://www.notion.so/PL-KPI-2adea0be07e481269df0e2142555934f?pvs=21), 「主要レバー」の特定 (https://www.notion.so/2adea0be07e481cea8f3d213716b56f0?pvs=21), 「戦略KPIデータ取得・分析（LTV、 SFF貢献度等）」 (https://www.notion.so/KPI-LTV-SFF-2adea0be07e48139b1cbdbe1b07bc8ea?pvs=21), データ取得要件の定義と依頼（会計事務所・自社） (https://www.notion.so/2adea0be07e481398a33cb756c50db5e?pvs=21), [第2回] KPI定義WS 実施（KPI定義の確定） (https://www.notion.so/2-KPI-WS-KPI-2adea0be07e481d78e92fafa9011d313?pvs=21), [第2回] KPI定義WS 準備（論点・定義の精緻化） (https://www.notion.so/2-KPI-WS-2adea0be07e481b698adfecbab46227b?pvs=21), [第1回] KPI定義WS 実施（ジム・SFFのKPI定義） (https://www.notion.so/1-KPI-WS-SFF-KPI-2adea0be07e48155bacce2a8511db97e?pvs=21), [第1回] KPI定義WS 準備（論点・たたき台作成） (https://www.notion.so/1-KPI-WS-2adea0be07e481a9bf4eeb850c826fed?pvs=21)",,,,,,,
[第1回] KPI定義WS 準備（論点・たたき台作成）,1.3.1,,未着手,,,2025年12月2日,,,成果物3: KPIマップ(M2) (https://www.notion.so/3-KPI-M2-2adea0be07e48192a638d8f489494161?pvs=21)
[第1回] KPI定義WS 実施（ジム・SFFのKPI定義）,1.3.2,,未着手,,,2025年12月2日,,,成果物3: KPIマップ(M2) (https://www.notion.so/3-KPI-M2-2adea0be07e48192a638d8f489494161?pvs=21)
[第2回] KPI定義WS 準備（論点・定義の精緻化）,1.3.3,,未着手,,,2025年12月9日,,,成果物3: KPIマップ(M2) (https://www.notion.so/3-KPI-M2-2adea0be07e48192a638d8f489494161?pvs=21)
[第2回] KPI定義WS 実施（KPI定義の確定）,1.3.4,,未着手,,,2025年12月9日,,,成果物3: KPIマップ(M2) (https://www.notion.so/3-KPI-M2-2adea0be07e48192a638d8f489494161?pvs=21)
データ取得要件の定義と依頼（会計事務所・自社）,1.3.5,,未着手,,,2025年12月16日,,,成果物3: KPIマップ(M2) (https://www.notion.so/3-KPI-M2-2adea0be07e48192a638d8f489494161?pvs=21)
「戦略KPIデータ取得・分析（LTV、 SFF貢献度等）」,1.3.6,,未着手,,,2025年12月23日,,,成果物3: KPIマップ(M2) (https://www.notion.so/3-KPI-M2-2adea0be07e48192a638d8f489494161?pvs=21)
「主要レバー」の特定,1.3.7,,未着手,,,2026年1月16日,,,成果物3: KPIマップ(M2) (https://www.notion.so/3-KPI-M2-2adea0be07e48192a638d8f489494161?pvs=21)
「経営判断マップ」作成（PL、 コスト、 KPIの統合）,1.3.8,,未着手,,,2026年1月23日,,,成果物3: KPIマップ(M2) (https://www.notion.so/3-KPI-M2-2adea0be07e48192a638d8f489494161?pvs=21)
レビューと承認,1.3.9,,未着手,,,2026年1月28日,,,成果物3: KPIマップ(M2) (https://www.notion.so/3-KPI-M2-2adea0be07e48192a638d8f489494161?pvs=21)
成果物4: データ取得体制ロードマップ (M2以降),1.4,"ロードマップレビューと合意 (https://www.notion.so/2adea0be07e481379ed3eb0e42321e5b?pvs=21), CRM導入要件へのインプット作成 (https://www.notion.so/CRM-2adea0be07e48156bcecebd84a4f8cb6?pvs=21), 取得不能データ（KPIギャップ）の特定 (https://www.notion.so/KPI-2adea0be07e481cba711e1bd2e6aa1c1?pvs=21)",,,,,,,
取得不能データ（KPIギャップ）の特定,1.4.1,,未着手,,,,,,成果物4: データ取得体制ロードマップ (M2以降) (https://www.notion.so/4-M2-2adea0be07e481238b5de17f0644313f?pvs=21)
CRM導入要件へのインプット作成,1.4.2,,未着手,,,,,,成果物4: データ取得体制ロードマップ (M2以降) (https://www.notion.so/4-M2-2adea0be07e481238b5de17f0644313f?pvs=21)
ロードマップレビューと合意,1.4.3,,未着手,,,,,,成果物4: データ取得体制ロードマップ (M2以降) (https://www.notion.so/4-M2-2adea0be07e481238b5de17f0644313f?pvs=21)
