,,,,,Summary,,
,,,,,課題件数：,28件,
,,,,,完了：,0件,
,,,,,対応中：,0件,
,,,,,未着手：,28件,
,,,,,N/A：,0件,
"課題
管理
№",発生局面,分類,起票者,起票日,タイトル,"内容
　(1)問題点と背景
　(2)想定される影響
　(3)原因",影響度,対応責任者,解決期限,完了条件,ステータス,対応計画,対応状況,完了日,備　　　　　考
011,意識・マインド,組織開発,鈴木,2025/11/27,「自分は何を求められているか」が分からず、自信を失っている（隠れた悩み）,"(1)問題点と背景
「ナビゲーター（道を示す人）」になりたいと思いつつ、現状は何でも屋になっており、「自分の価値は何なのか」と自信が下がっている。

(2)想定される影響
「指示待ち」の姿勢から抜け出せず、チームのために提案するような「攻めの動き」ができなくなる。

(3)原因
組織が変わっていく中で、「神保さんの役割はこれ」という仕事の定義が更新されていないため。",高,鈴木,,神保さんの役割と目標をはっきりさせる,未着手,"①神保さんに期待すること（目標）を鈴木が言語化する
②「ナビゲーター」として具体的に何をするか行動を決める
③定期的に振り返りをする場（1on1）を作る",,,"Q1, Q10回答より"
012,会議体,意思決定,鈴木,2025/11/27,会議の話が脱線してしまい、決定事項が決まらない,"(1)問題点と背景
メンバーの熱意があるあまり話が広がりすぎて、時間内に結論が出ず、翌週に持ち越しになることが多い。

(2)想定される影響
決めるべきことが決まらず、仕事全体のスピードが落ちる。

(3)原因
「時間管理をする人」や「話をまとめて結論を出す人（進行役）」がいないため。",中,鈴木,,会議の進め方を改善する,未着手,"①会議の予定表に「今日決めること」を必ず書く
②神保さんがタイムキーパーとなり、時間が来たら話を区切る権限を持つ",,,"Q3回答より"
013,リスク管理,法務,鈴木,2025/11/27,企業との取引（契約・請求）をスムーズに行う準備ができていない（隠れた悩み）,"(1)問題点と背景
今後、企業向けの仕事（B2B）が増える予定だが、高額な契約を結ぶ時のチェック体制や流れが決まっていない。

(2)想定される影響
契約内容に不備があってトラブルになったり、手続きが遅れて相手企業からの信用を失うリスクがある。

(3)原因
これまでは個人のお客様が中心で、企業向けのルールを作る必要がなかったため。",中,鈴木,,企業取引のルールと流れを作る,未着手,"①契約書の種類ごとに「誰がチェックするか」の流れ図を作る
②弁護士に相談するタイミングを決める
③必要なら電子契約などのツール導入を検討する",,,"Q7回答より"
014,マーケティング,データ分析,鈴木,2025/11/27,YouTubeから購入までの流れが見えていない,"(1)問題点と背景
YouTubeを見てくれた人が、どんな気持ちで、どのページを通って商品を買ってくれたのか（購入ルート）が分かっていない。

(2)想定される影響
ファンとそうでない人の区別がつかず、目標が立てにくい。広告や動画にかけたお金に見合った効果が出ているか分からない。

(3)原因
YouTubeから購入に至るまでのデータを追跡する設定ができておらず、分析の仕組みがないため。",高,鈴木,,データが見える仕組みを作る,未着手,"①YouTube〜購入までのデータの流れを調査・整備する
②必要な目標数字（リスト登録率、生涯売上など）を決める
③分析結果が一目でわかる画面（ダッシュボード）を作る",,,"Q4回答より"
015,組織運営,部門間連携,鈴木,2025/11/27,ジム事業（SFF）の動きがマーケティング担当に伝わっていない,"(1)問題点と背景
SFF（ジム/かおり様担当）で進んでいる新規事業や現場の動きが、マーケティング責任者（的場様）に共有されていない。

(2)想定される影響
ネット集客の戦略と、現場の実態がズレてしまい、効果が出ない。ジムの良いところをWeb集客に活かせない。

(3)原因
部署をまたいで情報を共有する会議や、ルールが決まっていないため。",高,鈴木,,部署間の情報共有会議を作る,未着手,"①マネージャー会議を作り、話し合う内容を決める
②SFFの動きが誰でもわかるような共有資料を作る
③マーケティングと現場の連携フロー図を作る",,,"Q6回答より"
016,事業戦略,B2B展開,鈴木,2025/11/27,企業向け（法人）営業のノウハウと体制がない,"(1)問題点と背景
今後「法人研修」を広げていくにあたり、企業への営業方法や組織作りの経験が社内にない。「株式会社Shape Fit」としての信頼性作りがまだできていない。

(2)想定される影響
なーすけ個人の知名度頼みでは、企業は契約してくれず、新しい事業が失敗する。

(3)原因
これまでの成功が個人向け（YouTube）中心で、企業向けの「論理的な提案」や「組織営業」ができる人や経験が不足しているため。",高,鈴木,,企業向け営業の戦略と組織作り,未着手,"①企業向け営業のスケジュール計画を作る
②必要な機能（営業資料、電話営業、商談）を洗い出す
③外部の詳しい人に聞くか、経験者を採用する計画を立てる",,,"Q7回答より"
017,業務プロセス,効率化,鈴木,2025/11/27,チャットの返信待ちで仕事が止まってしまう,"(1)問題点と背景
仕事の確認や承認の際、チャットの返事が来るまで待ってしまい、全体の作業が遅れている。

(2)想定される影響
判断が遅れ、SNSの流行などに素早く対応できずチャンスを逃す。

(3)原因
「急ぎの時は電話する」などのルールがなく、また「ここまでは自分で決めていい」という権限の範囲が決まっていないため。",中,鈴木,,連絡ルールの見直しと権限委譲,未着手,"①「誰が何を承認するか」のルールを整理する
②緊急度に応じた連絡手段（電話/メンション）を決める
③定例会議で「まとめて承認する時間」を作る",,,"Q9回答より"
018,組織運営,情報共有,鈴木,2025/11/27,役員とメンバーの情報格差で、やる気が下がっている,"(1)問題点と背景
役員だけで話がどんどん進んでしまい、メンバーがついていけず「自分は必要なのか」と自信をなくしている。

(2)想定される影響
「Shapeらしくない」という疎外感が生まれ、モチベーション低下や離職につながる。

(3)原因
どうやって決まったかが見えず、決定事項や背景をメンバーに伝える決まった流れがないため。",高,鈴木,,全社への情報共有ルールを作る,未着手,"①役員会の議事録をどこまで見せるか決める
②全社会議で「なぜ決まったか（背景）」を必ず説明する
③メンバーからの質問や意見を聞く場所を作る",,,Q3回答より
019,業務プロセス,効率化,鈴木,2025/11/27,香さん（CHRO）が手動でリマインドしていて大変,"(1)問題点と背景
現場の進捗確認やオーナーへの連絡を、香さんが人力で行っている。

(2)想定される影響
本来やるべき「人・組織作り」に時間が割けず、組織の成長が止まってしまう。

(3)原因
自動で通知する仕組みがなく、香さんが間に入らないと回らない状態だから。",中,鈴木,,管理業務を自動化する,未着手,"①現場の状況が見えるツールを入れる
②リマインド業務を自動化する（Botなどの活用）
③現場リーダーに管理を任せる",,,Q4回答より
020,人事・評価,人材育成,鈴木,2025/11/27,評価の基準が「香さんの感覚」頼みになっている,"(1)問題点と背景
メンバーの評価が、香様の「直感・センス」に依存しており、基準が言葉になっていない。

(2)想定される影響
公平な評価が難しく、香さん以外は評価できないため、他のリーダーが育たない。

(3)原因
香さんのすごい「人を見る目」が頭の中にしかなく、マニュアルやチェックシートになっていないため。",高,鈴木,,評価基準を言葉にして標準化する,未着手,"①香さんの「着眼点」を聞き出して言葉にする
②評価シートに具体的な行動基準を落とし込む
③リーダー全員で評価基準を合わせる研修をする",,,Q8回答より
021,組織文化,理念浸透,鈴木,2025/11/27,「Shapeらしさ」が具体的な行動ルールになっていない,"(1)問題点と背景
「未来起点」「挑戦」といった言葉はあるが、具体的にどう行動すれば評価されるかが決まっていない。

(2)想定される影響
人が増えると「何がShapeらしいか」が分からなくなり、文化が薄まる。

(3)原因
理念と評価（給料・昇進）がつながっておらず、文化が「空気感」としてしか存在していないため。",中,鈴木,,理念を評価制度に組み込む,未着手,"①「Shapeらしい行動」の具体例（良い例/悪い例）を作る
②理念に基づく評価項目を作る
③採用基準にも「カルチャーに合うか」を明記する",,,Q6, Q7回答より
022,経営戦略,事業継承,鈴木,2025/11/27,新しいビジョンを作る力が、なーすけさん個人の頭の中にしかない,"(1)問題点と背景
「新しい価値観を探す」「ビジョンを作る」ことがなーすけさんにしかできず、もし不在になったら組織の進化が止まる。

(2)想定される影響
市場の変化に対応できず、新しいアイデアが出ない古い組織になってしまう。

(3)原因
なーすけさんの「感覚」や「思考回路」を言葉にして共有する仕組みがないため。",高,鈴木,,思考プロセスを見える化する,未着手,"①CEOが「何を見て、どう感じたか」を話す場を定期的に作る
②ビジョンを作る時にNo.2（香音様等）も同席し、言葉にするのを手伝う",,,Q1回答より
023,組織運営,役割分担,鈴木,2025/11/27,CEOの仕事の整理（伝道師に集中し、他は任せる）,"(1)問題点と背景
なーすけさんの「天才性（話術、熱狂させる力）」以外の細かい業務が残っており、一番得意なことに100%集中できていない。

(2)想定される影響
CEOのやる気が下がり、組織全体のエネルギーも下がる。

(3)原因
「能力的にできること」と「情熱として手放したくないこと」の区別がついていないため。",中,鈴木,,「やらないことリスト」を決める,未着手,"①「伝道師」としての仕事だけを書いた定義書を作る
②それ以外の業務を他の人に任せる計画を立てる",,,Q2, Q10回答より
024,新規事業,商品開発,鈴木,2025/11/27,法人研修を「仕組み」にして、誰でも教えられるようにする,"(1)問題点と背景
3年後の柱となる「法人研修」で、今はなーすけさん自身が教えていて「疲れる」と感じている。

(2)想定される影響
なーすけさんの時間が足りず、事業を大きくできない。

(3)原因
「なーすけさんが教える」ことが価値になっていて、教科書や育成プログラムがないため。",高,鈴木,,研修の教科書作りと講師育成,未着手,"①指導メソッドをマニュアル（テキスト・動画）にする
②認定トレーナーを育てる仕組みを作る
③企業向け資料で「メソッドの価値」を伝える",,,Q13回答より
025,組織運営,コミュニケーション,鈴木,2025/11/27,アイデアを具体的な計画にする「まとめ役」がいない,"(1)問題点と背景
CEOからアイデアが出るが、それを「具体的な形」や「実行プラン」にする時の精度が悪く、不安がある。

(2)想定される影響
良いアイデアが消えたり、現場への指示が曖昧で混乱する。

(3)原因
アイデアを広げる（アクセル）だけでなく、整理して形にする（ブレーキ・収束）役割がいないため。",高,香音（予定）,,翻訳プロセスの確立,未着手,"①アイデア出し会議には必ず「まとめ役（香音様等）」を入れる
②「アイデアシート（概要・目的・イメージ）」を使い始める
③アイデアの「保管庫」を作る",,,Q6, Q9, Q12回答より
026,経営管理,意思決定,鈴木,2025/11/27,外部と組む時の「判断基準」がない,"(1)問題点と背景
業務委託や提携の話が来た時、「何を基準に決めればいいか」が分からず迷ってしまう。

(2)想定される影響
判断が遅れたり、損をする提携を結んでしまうリスクがある。

(3)原因
自社の「成功パターン」や、外注時の「採用基準（コスト・品質など）」が数値化・文章化されていないため。",中,鈴木,,パートナー選定基準を作る,未着手,"①外部委託時の「チェックリスト」を作る
②いくらまでなら出すかという予算基準を作る",,,Q8回答より
027,イベント事業,KPI設計,鈴木,2025/11/27,イベント（SFF）の成功・失敗を判断する基準がない,"(1)問題点と背景
イベントが終わった後、チケットの売れ行きや満足度が良かったのか悪かったのか、客観的に分からない。

(2)想定される影響
次にどう改善すべきか分からず、同じ失敗を繰り返す可能性がある。

(3)原因
目的が「利益」なのか「知名度アップ」なのか曖昧で、目標数字（売上や満足度）が決まっていないため。",高,鈴木,,SFFの収益モデルと目標を作る,未着手,"①SFFの事業目的をはっきりさせる
②開催ごとの収益シミュレーションを作る
③満足度アンケートの仕組みを作る",,,Q5, Q7, Q8回答より
028,組織文化,浸透,鈴木,2025/11/27,現場トレーナーに10年後のビジョンが伝わりきっていない,"(1)問題点と背景
10年後のビジョンを語った時、コアメンバーは理解するが、現場トレーナーはポカンとしており温度差がある。

(2)想定される影響
全社一丸となれず、現場スタッフが「置いてけぼり」を感じて辞めてしまう恐れがある。

(3)原因
遠い未来（10年後）と、現場の「今の業務」をつなぐ「3年後・1年後の目標」の話が足りないため。",中,香音,,ビジョンを段階的に伝える,未着手,"①10年後から逆算した「3カ年計画」を共有する
②各スタッフのキャリアとビジョンをつなげる面談をする
③全体会議で分かりやすく噛み砕いて話す",,,Q9回答より
