No,発生局面,分類,起票者,起票日,タイトル,内容,影響度,対応責任者,解決期限,完了条件,ステータス,対応計画,対応状況,完了日,備考
011,意識・マインド,組織開発,鈴木,2025/11/27,「自分は何を求められているか」が分からず、自信を失っている（隠れた悩み）,"(1)問題点と背景<br>「ナビゲーター（道を示す人）」になりたいと思いつつ、現状は何でも屋になっており、「自分の価値は何なのか」と自信が下がっている。<br><br>(2)想定される影響<br>「指示待ち」の姿勢から抜け出せず、チームのために提案するような「攻めの動き」ができなくなる。<br><br>(3)原因<br>組織が変わっていく中で、「神保さんの役割はこれ」という仕事の定義が更新されていないため。",高,鈴木,,神保さんの役割と目標をはっきりさせる,未着手,"①神保さんに期待すること（目標）を鈴木が言語化する<br>②「ナビゲーター」として具体的に何をするか行動を決める<br>③定期的に振り返りをする場（1on1）を作る",,,"Q1, Q10回答より"
012,会議体,意思決定,鈴木,2025/11/27,会議の話が脱線してしまい、決定事項が決まらない,"(1)問題点と背景<br>メンバーの熱意があるあまり話が広がりすぎて、時間内に結論が出ず、翌週に持ち越しになることが多い。<br><br>(2)想定される影響<br>決めるべきことが決まらず、仕事全体のスピードが落ちる。<br><br>(3)原因<br>「時間管理をする人」や「話をまとめて結論を出す人（進行役）」がいないため。",中,鈴木,,会議の進め方を改善する,未着手,"①会議の予定表に「今日決めること」を必ず書く<br>②神保さんがタイムキーパーとなり、時間が来たら話を区切る権限を持つ",,,Q3回答より
013,リスク管理,法務,鈴木,2025/11/27,企業との取引（契約・請求）をスムーズに行う準備ができていない（隠れた悩み）,"(1)問題点と背景<br>今後、企業向けの仕事（B2B）が増える予定だが、高額な契約を結ぶ時のチェック体制や流れが決まっていない。<br><br>(2)想定される影響<br>契約内容に不備があってトラブルになったり、手続きが遅れて相手企業からの信用を失うリスクがある。<br><br>(3)原因<br>これまでは個人のお客様が中心で、企業向けのルールを作る必要がなかったため。",中,鈴木,,企業取引のルールと流れを作る,未着手,"①契約書の種類ごとに「誰がチェックするか」の流れ図を作る<br>②弁護士に相談するタイミングを決める<br>③必要なら電子契約などのツール導入を検討する",,,Q7回答より
014,マーケティング,データ分析,鈴木,2025/11/27,YouTubeから購入までの流れが見えていない,"(1)問題点と背景<br>YouTubeを見てくれた人が、どんな気持ちで、どのページを通って商品を買ってくれたのか（購入ルート）が分かっていない。<br><br>(2)想定される影響<br>ファンとそうでない人の区別がつかず、目標が立てにくい。広告や動画にかけたお金に見合った効果が出ているか分からない。<br><br>(3)原因<br>YouTubeから購入に至るまでのデータを追跡する設定ができておらず、分析の仕組みがないため。",高,鈴木,,データが見える仕組みを作る,未着手,"①YouTube〜購入までのデータの流れを調査・整備する<br>②必要な目標数字（リスト登録率、生涯売上など）を決める<br>③分析結果が一目でわかる画面（ダッシュボード）を作る",,,Q4回答より
015,組織運営,部門間連携,鈴木,2025/11/27,ジム事業（SFF）の動きがマーケティング担当に伝わっていない,"(1)問題点と背景<br>SFF（ジム/かおり様担当）で進んでいる新規事業や現場の動きが、マーケティング責任者（的場様）に共有されていない。<br><br>(2)想定される影響<br>ネット集客の戦略と、現場の実態がズレてしまい、効果が出ない。ジムの良いところをWeb集客に活かせない。<br><br>(3)原因<br>部署をまたいで情報を共有する会議や、ルールが決まっていないため。",高,鈴木,,部署間の情報共有会議を作る,未着手,"①マネージャー会議を作り、話し合う内容を決める<br>②SFFの動きが誰でもわかるような共有資料を作る<br>③マーケティングと現場の連携フロー図を作る",,,Q6回答より
016,事業戦略,B2B展開,鈴木,2025/11/27,企業向け（法人）営業のノウハウと体制がない,"(1)問題点と背景<br>今後「法人研修」を広げていくにあたり、企業への営業方法や組織作りの経験が社内にない。「株式会社Shape Fit」としての信頼性作りがまだできていない。<br><br>(2)想定される影響<br>なーすけ個人の知名度頼みでは、企業は契約してくれず、新しい事業が失敗する。<br><br>(3)原因<br>これまでの成功が個人向け（YouTube）中心で、企業向けの「論理的な提案」や「組織営業」ができる人や経験が不足しているため。",高,鈴木,,企業向け営業の戦略と組織作り,未着手,"①企業向け営業のスケジュール計画を作る<br>②必要な機能（営業資料、電話営業、商談）を洗い出す<br>③外部の詳しい人に聞くか、経験者を採用する計画を立てる",,,Q7回答より
017,業務プロセス,効率化,鈴木,2025/11/27,チャットの返信待ちで仕事が止まってしまう,"(1)問題点と背景<br>仕事の確認や承認の際、チャットの返事が来るまで待ってしまい、全体の作業が遅れている。<br><br>(2)想定される影響<br>判断が遅れ、SNSの流行などに素早く対応できずチャンスを逃す。<br><br>(3)原因<br>「急ぎの時は電話する」などのルールがなく、また「ここまでは自分で決めていい」という権限の範囲が決まっていないため。",中,鈴木,,連絡ルールの見直しと権限委譲,未着手,"①「誰が何を承認するか」のルールを整理する<br>②緊急度に応じた連絡手段（電話/メンション）を決める<br>③定例会議で「まとめて承認する時間」を作る",,,Q9回答より
018,組織運営,情報共有,鈴木,2025/11/27,役員とメンバーの情報格差で、やる気が下がっている,"(1)問題点と背景<br>役員だけで話がどんどん進んでしまい、メンバーがついていけず「自分は必要なのか」と自信をなくしている。<br><br>(2)想定される影響<br>「Shapeらしくない」という疎外感が生まれ、モチベーション低下や離職につながる。<br><br>(3)原因<br>どうやって決まったかが見えず、決定事項や背景をメンバーに伝える決まった流れがないため。",高,鈴木,,全社への情報共有ルールを作る,未着手,"①役員会の議事録をどこまで見せるか決める<br>②全社会議で「なぜ決まったか（背景）」を必ず説明する<br>③メンバーからの質問や意見を聞く場所を作る",,,Q3回答より
019,業務プロセス,効率化,鈴木,2025/11/27,香さん（CHRO）が手動でリマインドしていて大変,"(1)問題点と背景<br>現場の進捗確認やオーナーへの連絡を、香さんが人力で行っている。<br><br>(2)想定される影響<br>本来やるべき「人・組織作り」に時間が割けず、組織の成長が止まってしまう。<br><br>(3)原因<br>自動で通知する仕組みがなく、香さんが間に入らないと回らない状態だから。",中,鈴木,,管理業務を自動化する,未着手,"①現場の状況が見えるツールを入れる<br>②リマインド業務を自動化する（Botなどの活用）<br>③現場リーダーに管理を任せる",,,Q4回答より
020,人事・評価,人材育成,鈴木,2025/11/27,評価の基準が「香さんの感覚」頼みになっている,"(1)問題点と背景<br>メンバーの評価が、香様の「直感・センス」に依存しており、基準が言葉になっていない。<br><br>(2)想定される影響<br>公平な評価が難しく、香さん以外は評価できないため、他のリーダーが育たない。<br><br>(3)原因<br>香さんのすごい「人を見る目」が頭の中にしかなく、マニュアルやチェックシートになっていないため。",高,鈴木,,評価基準を言葉にして標準化する,未着手,"①香さんの「着眼点」を聞き出して言葉にする<br>②評価シートに具体的な行動基準を落とし込む<br>③リーダー全員で評価基準を合わせる研修をする",,,Q8回答より
021,組織文化,理念浸透,鈴木,2025/11/27,「Shapeらしさ」が具体的な行動ルールになっていない,"(1)問題点と背景<br>「未来起点」「挑戦」といった言葉はあるが、具体的にどう行動すれば評価されるかが決まっていない。<br><br>(2)想定される影響<br>人が増えると「何がShapeらしいか」が分からなくなり、文化が薄まる。<br><br>(3)原因<br>理念と評価（給料・昇進）がつながっておらず、文化が「空気感」としてしか存在していないため。",中,鈴木,,理念を評価制度に組み込む,未着手,"①「Shapeらしい行動」の具体例（良い例/悪い例）を作る<br>②理念に基づく評価項目を作る<br>③採用基準にも「カルチャーに合うか」を明記する",,,"Q6, Q7回答より"
022,経営戦略,事業継承,鈴木,2025/11/27,新しいビジョンを作る力が、なーすけさん個人の頭の中にしかない,"(1)問題点と背景<br>「新しい価値観を探す」「ビジョンを作る」ことがなーすけさんにしかできず、もし不在になったら組織の進化が止まる。<br><br>(2)想定される影響<br>市場の変化に対応できず、新しいアイデアが出ない古い組織になってしまう。<br><br>(3)原因<br>なーすけさんの「感覚」や「思考回路」を言葉にして共有する仕組みがないため。",高,鈴木,,思考プロセスを見える化する,未着手,"①CEOが「何を見て、どう感じたか」を話す場を定期的に作る<br>②ビジョンを作る時にNo.2（香音様等）も同席し、言葉にするのを手伝う",,,Q1回答より
023,組織運営,役割分担,鈴木,2025/11/27,CEOの仕事の整理（伝道師に集中し、他は任せる）,"(1)問題点と背景<br>なーすけさんの「天才性（話術、熱狂させる力）」以外の細かい業務が残っており、一番得意なことに100%集中できていない。<br><br>(2)想定される影響<br>CEOのやる気が下がり、組織全体のエネルギーも下がる。<br><br>(3)原因<br>「能力的にできること」と「情熱として手放したくないこと」の区別がついいないため。",中,鈴木,,「やらないことリスト」を決める,未着手,"①「伝道師」としての仕事だけを書いた定義書を作る<br>②それ以外の業務を他の人に任せる計画を立てる",,,"Q2, Q10回答より"
024,新規事業,商品開発,鈴木,2025/11/27,法人研修を「仕組み」にして、誰でも教えられるようにする,"(1)問題点と背景<br>3年後の柱となる「法人研修」で、今はなーすけさん自身が教えていて「疲れる」と感じている。<br><br>(2)想定される影響<br>なーすけさんの時間が足りず、事業を大きくできない。<br><br>(3)原因<br>「なーすけさんが教える」ことが価値になっていて、教科書や育成プログラムがないため。",高,鈴木,,研修の教科書作りと講師育成,未着手,"①指導メソッドをマニュアル（テキスト・動画）にする<br>②認定トレーナーを育てる仕組みを作る<br>③企業向け資料で「メソッドの価値」を伝える",,,Q13回答より
025,組織運営,コミュニケーション,鈴木,2025/11/27,アイデアを具体的な計画にする「まとめ役」がいない,"(1)問題点と背景<br>CEOからアイデアが出るが、それを「具体的な形」や「実行プラン」にする時の精度が悪く、不安がある。<br><br>(2)想定される影響<br>良いアイデアが消えたり、現場への指示が曖昧で混乱する。<br><br>(3)原因<br>アイデアを広げる（アクセル）だけでなく、整理して形にする（ブレーキ・収束）役割がいないため。",高,香音（予定）,,翻訳プロセスの確立,未着手,"①アイデア出し会議には必ず「まとめ役（香音様等）」を入れる<br>②「アイデアシート（概要・目的・イメージ）」を使い始める<br>③アイデアの「保管庫」を作る",,,"Q6, Q9, Q12回答より"
026,経営管理,意思決定,鈴木,2025/11/27,外部と組む時の「判断基準」がない,"(1)問題点と背景<br>業務委託や提携の話が来た時、「何を基準に決めればいいか」が分からず迷ってしまう。<br><br>(2)想定される影響<br>判断が遅れたり、損をする提携を結んでしまうリスクがある。<br><br>(3)原因<br>自社の「成功パターン」や、外注時の「採用基準（コスト・品質など）」が数値化・文章化されていないため。",中,鈴木,,パートナー選定基準を作る,未着手,"①外部委託時の「チェックリスト」を作る<br>②いくらまでなら出すかという予算基準を作る",,,Q8回答より
027,イベント事業,KPI設計,鈴木,2025/11/27,イベント（SFF）の成功・失敗を判断する基準がない,"(1)問題点と背景<br>イベントが終わった後、チケットの売れ行きや満足度が良かったのか悪かったのか、客観的に分からない。<br><br>(2)想定される影響<br>次にどう改善すべきか分からず、同じ失敗を繰り返す可能性がある。<br><br>(3)原因<br>目的が「利益」なのか「知名度アップ」なのか曖昧で、目標数字（売上や満足度）が決まっていないため。",高,鈴木,,SFFの収益モデルと目標を作る,未着手,"①SFFの事業目的をはっきりさせる<br>②開催ごとの収益シミュレーションを作る<br>③満足度アンケートの仕組みを作る",,,"Q5, Q7, Q8回答より"
028,組織文化,浸透,鈴木,2025/11/27,現場トレーナーに10年後のビジョンが伝わりきっていない,"(1)問題点と背景<br>10年後のビジョンを語った時、コアメンバーは理解するが、現場トレーナーはポカンとしており温度差がある。<br><br>(2)想定される影響<br>全社一丸となれず、現場スタッフが「置いてけぼり」を感じて辞めてしまう恐れがある。<br><br>(3)原因<br>遠い未来（10年後）と、現場の「今の業務」をつなぐ「3年後・1年後の目標」の話が足りないため。",中,香音,,ビジョンを段階的に伝える,未着手,"①10年後から逆算した「3カ年計画」を共有する<br>②各スタッフのキャリアとビジョンをつなげる面談をする<br>③全体会議で分かりやすく噛み砕いて話す",,,Q9回答より
029,システム基盤,データ統合,鈴木,2025/11/29,顧客データが分散し、事業の全体像が見えていない,"(1)問題点と背景<br>スプレッドシートで事業ごとに顧客を管理しており、データが統合されていない（Silos）。顧客の行動（LTV）がつながらない。<br><br>(2)想定される影響<br>現状把握ができず、施策が「行き当たりばったり」になる。機会損失が発生し続ける。<br><br>(3)原因<br>統合的なIT基盤（CRM）が存在せず、事業部ごとの個別管理（スプシ）になっているため。",高,鈴木,,CRM導入とデータ統合,未着手,"①各事業の顧客データの項目を洗い出す<br>②Salesforceへの統合要件を定義する<br>③全事業横断の「顧客ID」を設計する",,,フレアネストQ2
030,プロジェクト管理,コミュニケーション,鈴木,2025/11/29,開発要件が「空中戦」になり、具体化・定着しない,"(1)問題点と背景<br>要望が「概念的」で具体的な仕様に落ちておらず、エンジニアと抽象的な会話（空中戦）を繰り返している。<br><br>(2)想定される影響<br>手戻りや「言った言わない」が発生し、開発スピードが低下する。同じ相談を繰り返す無駄が発生。<br><br>(3)原因<br>ビジネス側の要望を、開発可能な「仕様（図やドキュメント）」に翻訳するプロセスと役割が欠如しているため。",高,鈴木,,共通言語化・翻訳プロセスの確立,未着手,"①鈴木が間に入り、要望を「要件定義書・図」にする<br>②会議で決まったことを必ずドキュメントに残す<br>③「ユーザー体験（UX）」を共通ゴールにする",,,フレアネストQ9
031,プロジェクト管理,リソース管理,鈴木,2025/11/29,優先度の低い「急な依頼」で、本流の開発が止まってしまう,"(1)問題点と背景<br>優先度1位のプロジェクト（CRM）進行中に、優先度の低い依頼が「緊急」として入り、リソースが奪われる。<br><br>(2)想定される影響<br>本当に重要な基盤構築が遅れ、全体のロードマップが後ろ倒しになる。<br><br>(3)原因<br>開発リソースの限界がビジネス側に可視化されておらず、「依頼ルール（変更フロー）」が決まっていないため。",中,鈴木,,開発依頼の優先順位ルールの策定,未着手,"①現在の開発リソースと優先順位を全社公開する<br>②「割り込み依頼」をする際の承認フローを作る<br>③定期的に優先順位を見直す場を設ける",,,フレアネストQ5
032,リスク管理,法務・セキュリティ,鈴木,2025/11/29,B2B展開に向けたセキュリティ・権限管理の不安,"(1)問題点と背景<br>法人取引に必要なPマークやセキュリティ規定がなく、現行システムの全体像も把握できていない（前任者依存）。<br><br>(2)想定される影響<br>大企業との契約時にセキュリティチェックで落ちる。情報漏洩リスクに対処できない。<br><br>(3)原因<br>これまでの個人向け事業では不要だったため、セキュリティや権限管理の専門的知見を入れる機会がなかった。",高,鈴木,,セキュリティ体制の構築（守りのIT）,未着手,"①現行システムのセキュリティ監査を行う<br>②Pマーク取得に向けたロードマップを作る<br>③法人取引に必要なセキュリティ規定を作る",,,フレアネストQ6
033,経営戦略,事業開発,鈴木,2025/11/29,新規価値・トレンドの「探索機能」の属人化,"(1)問題点と背景<br>新しい価値観やトレンドを市場から見つけてくる「探索（R&D）」の機能が、なーすけCEO個人のアンテナに依存している。<br><br>(2)想定される影響<br>CEOが多忙になると、新しい種まきが止まり、組織の進化や市場適応が遅れる。<br><br>(3)原因<br>「探索」がCEOのセンス任せになっており、組織としてのリサーチ機能や情報収集ルーチンがないため。",高,鈴木,,探索機能（R&D）の組織化,未着手,"①CEOが普段見ている情報ソースをリスト化する<br>②メンバー持ち回りで「トレンド共有会」を行う<br>③「新しい価値観」を定義し、リサーチ担当を決める",,,Q1回答より
034,事業戦略,ポートフォリオ,鈴木,2025/11/29,既存ジム事業（店舗）の中長期的な位置付けが曖昧,"(1)問題点と背景<br>3年後の主力事業として法人研修とSFFが挙がる一方、既存ジム事業の展開は「あんまり考えてない」状態であり、戦略的空白がある。<br><br>(2)想定される影響<br>ジム事業のスタッフが将来に不安を感じたり、リソース配分の優先順位で現場が混乱する。<br><br>(3)原因<br>全社ポートフォリオにおけるジム事業の役割（Cash Cowとして維持か、縮小か等）が明言されていないため。",高,鈴木,,ジム事業の戦略的位置付けの明確化,未着手,"①既存ジムの収益性と役割（資金源、人材輩出等）を定義する<br>②現場スタッフ向けに「ジム事業の今後」を説明する<br>③維持・拡大・撤退のシナリオを策定する",,,Q5回答より
035,マーケティング,業務委譲,鈴木,2025/11/29,CEO個人のSNSアカウント運用体制の属人化,"(1)問題点と背景<br>「なーすけ」個人アカウントの運用がCEO本人に依存しており、CEO不在時に発信が止まり、集客や認知獲得が停止するリスクがある。<br><br>(2)想定される影響<br>CEOのリソースがSNS運用に奪われ、経営業務に集中できない。また、組織としてのアセットにならない。<br><br>(3)原因<br>「本人しか発信できない」という思い込みと、チームでの運用フロー（企画・撮影・編集・投稿）が確立されていないため。",中,鈴木,,SNS運用のチーム化（チームなーすけ）,未着手,"①アカウント運用の全タスクを洗い出し、切り出せるものを特定する<br>②投稿のトーン＆マナー（人格）をガイドライン化する<br>③企画会議・撮影・編集の分業フローを作る",,,Q1回答より
037,運営・管理,業務効率,鈴木,2025/11/29,予約管理の二重入力（既存システムとLステップ）による現場負担,"(1)問題点と背景<br>予約システムと公式LINE（Lステップ）が連携しておらず、シフト登録や予約時の消し込み作業を両方のシステムで手動で行っている。<br><br>(2)想定される影響<br>日々の事務作業に時間を取られ、接客やトレーニング指導に集中できない。転記ミスによるダブルブッキングのリスクがある。<br><br>(3)原因<br>システム間の自動連携機能が導入されておらず、人海戦術での運用になっているため。",高,鈴木,,システムの一元化または自動連携,未着手,"①二重管理の実工数を測定する<br>②システム一元化または連携ツールの導入を検討する<br>③当面の運用ルール（どちらを正とするか）を再徹底する",,,フーテロQ7, Q8回答より
038,マーケティング,顧客体験,鈴木,2025/11/29,コミュニティ施策（オンライングループ）の空振りリスク,"(1)問題点と背景<br>現場感覚では顧客は「個人の目標達成」に精一杯で、横のつながりを求めていない層も多い。唐突なオンラインコミュニティ導入は「スベる」懸念がある。<br><br>(2)想定される影響<br>利用されない「過疎化したコミュニティ」ができ、運営側の徒労感とブランドイメージ低下を招く。<br><br>(3)原因<br>顧客が「仲間」を求めるようになるまでのプロセス（自己実現→余裕→共有）を考慮せず、形から入ろうとしているため。",中,鈴木,,コミュニティ設計の見直し,未着手,"①「トレーナー」や「イベント（大会）」を起点としたリアルな交流を優先する<br>②オンラインは「連絡網」程度から始め、強制しない設計にする<br>③ロイヤル顧客（古参）の行動パターンを分析する",,,フーテロQ5, Q6回答より
