12,会議体,意思決定,鈴木,2025/11/27,会議の話が脱線してしまい、決定事項が決まらない,"(1)問題点と背景
メンバーの熱意があるあまり話が広がりすぎて、時間内に結論が出ず、翌週に持ち越しになることが多い。

(2)想定される影響
決めるべきことが決まらず、仕事全体のスピードが落ちる。

(3)原因
「時間管理をする人」や「話をまとめて結論を出す人（進行役）」がいないため。",中,未定,鈴木,,会議の進め方を改善する,未着手,"①会議の予定表に「今日決めること」を必ず書く
②神保さんがタイムキーパーとなり、時間が来たら話を区切る権限を持つ",,,インタビューより
13,リスク管理,法務,鈴木,2025/11/27,企業との取引（契約・請求）をスムーズに行う準備ができていない（隠れた悩み）,"(1)問題点と背景
今後、企業向けの仕事（B2B）が増える予定だが、高額な契約を結ぶ時のチェック体制や流れが決まっていない。

(2)想定される影響
契約内容に不備があってトラブルになったり、手続きが遅れて相手企業からの信用を失うリスクがある。

(3)原因
これまでは個人のお客様が中心で、企業向けのルールを作る必要がなかったため。",中,未定,鈴木,,企業取引のルールと流れを作る,未着手,"①契約書の種類ごとに「誰がチェックするか」の流れ図を作る
②弁護士に相談するタイミングを決める
③必要なら電子契約などのツール導入を検討する",,,インタビューより
15,組織運営,部門間連携,鈴木,2025/11/27,ジム事業（SFF）の動きがマーケティング担当に伝わっていない,"(1)問題点と背景
SFFで進んでいる新規事業や現場の動きが、マーケティング責任者（的場様）に共有されていない。

(2)想定される影響
ネット集客の戦略と、現場の実態がズレてしまい、効果が出ない。ジムの良いところをWeb集客に活かせない。

(3)原因
部署をまたいで情報を共有する会議や、ルールが決まっていないため。",高,未定,鈴木,,部署間の情報共有会議を作る,未着手,"①マネージャー会議を作り、話し合う内容を決める
②SFFの動きが誰でもわかるような共有資料を作る
③マーケティングと現場の連携フロー図を作る",,,インタビューより
17,業務プロセス,効率化,鈴木,2025/11/27,チャットの返信待ちで仕事が止まってしまう,"(1)問題点と背景
仕事の確認や承認の際、チャットの返事が来るまで待ってしまい、全体の作業が遅れている。

(2)想定される影響
判断が遅れ、SNSの流行などに素早く対応できずチャンスを逃す。

(3)原因
「急ぎの時は電話する」などのルールがなく、また「ここまでは自分で決めていい」という権限の範囲が決まっていないため。",中,未定,鈴木,,連絡ルールの見直しと権限委譲,未着手,"①「誰が何を承認するか」のルールを整理する
②緊急度に応じた連絡手段（電話/メンション）を決める
③定例会議で「まとめて承認する時間」を作る",,,インタビューより
18,組織運営,情報共有,鈴木,2025/11/27,役員とメンバーの情報格差で、やる気が下がっている,"(1)問題点と背景
役員だけで話がどんどん進んでしまい、メンバーがついていけず「自分は必要なのか」と自信をなくしている。

(2)想定される影響
「Shapeらしくない」という疎外感が生まれ、モチベーション低下や離職につながる。

(3)原因
どうやって決まったかが見えず、決定事項や背景をメンバーに伝える決まった流れがないため。",高,未定,鈴木,,全社への情報共有ルールを作る,未着手,"①役員会の議事録をどこまで見せるか決める
②全社会議で「なぜ決まったか（背景）」を必ず説明する
③メンバーからの質問や意見を聞く場所を作る",,,インタビューより
19,業務プロセス,効率化,鈴木,2025/11/27,香さん（CHRO）が手動でリマインドしていて大変,"(1)問題点と背景
現場の進捗確認やオーナーへの連絡を、香さんが人力で行っている。

(2)想定される影響
本来やるべき「人・組織作り」に時間が割けず、組織の成長が止まってしまう。

(3)原因
自動で通知する仕組みがなく、香さんが間に入らないと回らない状態だから。",中,未定,鈴木,,管理業務を自動化する,未着手,"①現場の状況が見えるツールを入れる
②リマインド業務を自動化する（Botなどの活用）
③現場リーダーに管理を任せる",,,インタビューより
20,人事・評価,人材育成,鈴木,2025/11/27,評価の基準が「香さんの感覚」頼みになっている,"(1)問題点と背景
メンバーの評価が、香様の「直感・センス」に依存しており、基準が言葉になっていない。

(2)想定される影響
公平な評価が難しく、香さん以外は評価できないため、他のリーダーが育たない。

(3)原因
香さんのすごい「人を見る目」が頭の中にしかなく、マニュアルやチェックシートになっていないため。",高,未定,鈴木,,評価基準を言葉にして標準化する,未着手,"①香さんの「着眼点」を聞き出して言葉にする
②評価シートに具体的な行動基準を落とし込む
③リーダー全員で評価基準を合わせる研修をする",,,インタビューより
21,組織文化,理念浸透,鈴木,2025/11/27,「Shapeらしさ」が具体的な行動ルールになっていない,"(1)問題点と背景
「未来起点」「挑戦」といった言葉はあるが、具体的にどう行動すれば評価されるかが決まっていない。

(2)想定される影響
人が増えると「何がShapeらしいか」が分からなくなり、文化が薄まる。

(3)原因
理念と評価（給料・昇進）がつながっておらず、文化が「空気感」としてしか存在していないため。",中,未定,鈴木,,理念を評価制度に組み込む,未着手,"①「Shapeらしい行動」の具体例（良い例/悪い例）を作る
②理念に基づく評価項目を作る
③採用基準にも「カルチャーに合うか」を明記する",,,インタビューより
22,経営戦略,事業継承,鈴木,2025/11/27,新しいビジョンを作る力が、なーすけさん個人の頭の中にしかない,"(1)問題点と背景
「新しい価値観を探す」「ビジョンを作る」ことがなーすけさんにしかできず、もし不在になったら組織の進化が止まる。

(2)想定される影響
市場の変化に対応できず、新しいアイデアが出ない古い組織になってしまう。

(3)原因
なーすけさんの「感覚」や「思考回路」を言葉にして共有する仕組みがないため。",高,未定,鈴木,,思考プロセスを見える化する,未着手,"①CEOが「何を見て、どう感じたか」を話す場を定期的に作る
②ビジョンを作る時にNo.2（中井様等）も同席し、言葉にするのを手伝う",,,インタビューより
23,組織運営,役割分担,鈴木,2025/11/27,CEOの仕事の整理（伝道師に集中し、他は任せる）,"(1)問題点と背景
なーすけさんの「天才性（話術、熱狂させる力）」以外の細かい業務が残っており、一番得意なことに100%集中できていない。

(2)想定される影響
CEOのやる気が下がり、組織全体のエネルギーも下がる。

(3)原因
「能力的にできること」と「情熱として手放したくないこと」の区別がついていないため。",中,未定,鈴木,,「やらないことリスト」を決める,未着手,"①「伝道師」としての仕事だけを書いた定義書を作る
②それ以外の業務を他の人に任せる計画を立てる",,,インタビューより
25,組織運営,コミュニケーション,鈴木,2025/11/27,アイデアを具体的な計画にする「まとめ役」がいない,"(1)問題点と背景
CEOからアイデアが出るが、それを「具体的な形」や「実行プラン」にする時の精度が悪く、不安がある。

(2)想定される影響
良いアイデアが消えたり、現場への指示が曖昧で混乱する。

(3)原因
アイデアを広げる（アクセル）だけでなく、整理して形にする（ブレーキ・収束）役割がいないため。",高,中井（予定）,鈴木,,翻訳プロセスの確立,未着手,"①アイデア出し会議には必ず「まとめ役（中井様等）」を入れる
②「アイデアシート（概要・目的・イメージ）」を使い始める
③アイデアの「保管庫」を作る",,,インタビューより
26,経営管理,意思決定,鈴木,2025/11/27,外部と組む時の「判断基準」がない,"(1)問題点と背景
業務委託や提携の話が来た時、「何を基準に決めればいいか」が分からず迷ってしまう。

(2)想定される影響
判断が遅れたり、損をする提携を結んでしまうリスクがある。

(3)原因
自社の「成功パターン」や、外注時の「採用基準（コスト・品質など）」が数値化・文章化されていないため。",中,未定,鈴木,,パートナー選定基準を作る,未着手,"①外部委託時の「チェックリスト」を作る
②いくらまでなら出すかという予算基準を作る",,,インタビューより
28,組織文化,浸透,鈴木,2025/11/27,現場トレーナーに10年後のビジョンが伝わりきっていない,"(1)問題点と背景
10年後のビジョンを語った時、コアメンバーは理解するが、現場トレーナーはポカンとしており温度差がある。

(2)想定される影響
全社一丸となれず、現場スタッフが「置いてけぼり」を感じて辞めてしまう恐れがある。

(3)原因
遠い未来（10年後）と、現場の「今の業務」をつなぐ「3年後・1年後の目標」の話が足りないため。",中,中井（予定）,鈴木,,ビジョンを段階的に伝える,未着手,"①10年後から逆算した「3カ年計画」を共有する
②各スタッフのキャリアとビジョンをつなげる面談をする
③全体会議で分かりやすく噛み砕いて話す",,,インタビューより
