"取引No","取引日","勘定科目","補助科目","部門","取引先","税区分","インボイス","相手勘定科目","相手補助科目","相手部門","相手取引先","相手税区分","相手インボイス","摘要","借方金額","貸方金額","残高","メモ","タグ"
"1120","2025/05/09","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","34145","0","1108186","",""
"671","2025/05/12","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","預り金","毎月／所得税","","","対象外","","鶴見税務署_源泉徴収","0","134746","973440","",""
"1121","2025/05/16","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","35224","0","1008664","",""
"672","2025/05/20","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","paidy","アパレル","","対象外","","PAIDY_アパレル売上","19022","0","1027686","",""
"673","2025/05/21","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","雑収入","","本社共通費","","対象外","","国税還付金_法人税","1239","0","1028925","",""
"674","2025/05/21","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","諸口","","","","","","国税還付金_消費税","615400","0","1644325","",""
"338","2025/05/22","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","未払金","鈴木社労士","","","対象外","","鈴木社労士報酬_4月分","0","19958","1624367","",""
"504","2025/05/23","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","21491","0","1645858","",""
"762","2025/05/26","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","未払金","三井住友カードご本人/代表会員Visaオーナーズ","","","対象外","","三井住友カード_11月◯日～◇月◇日","0","5368","1640490","",""
"751","2025/05/27","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","リース料","","YouTube","","課仕 10%","","DF.ALL_社用車リース代","0","63470","1577020","",""
"1122","2025/05/30","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","508765","0","2085785","",""
"1163","2025/06/02","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","未払金","年金事務所","","","対象外","","社会保険料_4月分","0","586448","1499337","",""
"746","2025/06/05","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","支払手数料","芝信金ネットバンキング","本社共通費","","課仕 10%","","手数料","0","1650","1497687","",""
"1123","2025/06/06","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","89605","0","1587292","",""
"1170","2025/06/11","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","諸口","","","","","","059","0","150000","1437292","",""
"1171","2025/06/11","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","現金","","","","対象外","","福岡大会_SFFアパレル物販ブースの釣り銭引き落とし","0","79500","1357792","","詳細記載紫音"
"1197","2025/06/11","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","現金","","","","対象外","","SFF東京大会アパレル売上ー諸経費を抜いたもの＝https://docs.google.com/spreadsheets/d/10hHljd1fn2HCZLp2t3noB1sUcB4sZ1iV/edit?gid=1106810157#gid=1106810157","109380","0","1467172","https://docs.google.com/spreadsheets/d/10hHljd1fn2HCZLp2t3noB1sUcB4sZ1iV/edit?gid=1106810157#gid=1106810157","詳細記載紫音"
"1198","2025/06/11","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","現金","","","","対象外","","AD059","3800","0","1470972","",""
"1124","2025/06/13","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","50287","0","1521259","",""
"1190","2025/06/16","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","FC収入","","FC事業","","課売 10%","","ストライプジャパン_6月分_ShapeUnity売上","18964","0","1540223","",""
"1125","2025/06/20","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","60842","0","1601065","",""
"1207","2025/06/20","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","paidy","","","対象外","","PAIDY_アパレル売上","77020","0","1678085","",""
"677","2025/06/23","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","未払金","鈴木社労士","","","対象外","","鈴木社労士報酬_5月分","0","19958","1658127","",""
"763","2025/06/26","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","未払金","三井住友カードご本人/代表会員Visaオーナーズ","","","対象外","","三井住友カード_11月◯日～◇月◇日","0","12438","1645689","",""
"1172","2025/06/26","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","現金","","","","対象外","","065","0","253800","1391889","",""
"1173","2025/06/26","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","現金","","","","対象外","","065","0","62800","1329089","",""
"1174","2025/06/26","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","現金","","","","対象外","","065","0","593500","735589","",""
"1175","2025/06/26","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","現金","","","","対象外","","065","0","61000","674589","",""
"1176","2025/06/26","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","預り金","住民税","","","対象外","","065","0","239500","435089","横浜市市民税・県民税6月分","詳細記載紫音"
"1177","2025/06/26","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","預り金","住民税","","","対象外","","065","0","24600","410489","川崎市県民税６月分","詳細記載紫音"
"1178","2025/06/26","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","預り金","住民税","","","対象外","","065","0","6000","404489","",""
"1199","2025/06/26","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","現金","","","","対象外","","AD065","105870","0","510359","",""
"1200","2025/06/26","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","現金","","","","対象外","","AD065","316000","0","826359","",""
"752","2025/06/27","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","リース料","","YouTube","","課仕 10%","","DF.ALL_社用車リース代","0","63470","762889","",""
"1126","2025/06/27","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","90229","0","853118","",""
"1164","2025/06/30","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","諸口","","","","","","社会保険料_5月分","0","586448","266670","",""
"1127","2025/07/04","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","68833","0","335503","",""
"1080","2025/07/05","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","普通預金","法人楽天銀行第三営業支店円預金(普通預金)7236500","","","対象外","","【概算】芝信用金庫 大森駅前支店 普通預金 0043055 カ)シエイプ フイツト(依頼人名:カ)シエイプ フイツト 振込予定日:2025年07月05日 管理番号:20250705-39571592)","3000000","0","3335503","",""
"747","2025/07/07","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","支払手数料","芝信金ネットバンキング","本社共通費","","課仕 10%","","手数料","0","1650","3333853","",""
"1167","2025/07/10","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","預り金","半年／所得税","","","対象外","","鶴見税務署_源泉徴収","0","1680718","1653135","",""
"1179","2025/07/10","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","預り金","毎月／所得税","","","対象外","","鶴見税務署_源泉徴収","0","205808","1447327","",""
"1128","2025/07/11","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","112421","0","1559748","",""
"1191","2025/07/15","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","FC収入","","FC事業","","課売 10%","","ストライプジャパン_7月分_ShapeUnity売上","10537","0","1570285","",""
"1129","2025/07/18","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","78374","0","1648659","",""
"756","2025/07/22","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","未払金","鈴木社労士","","","対象外","","鈴木社労士報酬_6月分
","0","39916","1608743","",""
"1208","2025/07/22","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","paidy","","","対象外","","PAIDY_アパレル売上","68627","0","1677370","",""
"1130","2025/07/25","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","35643","0","1713013","",""
"1180","2025/07/25","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","預り金","住民税","","","対象外","","059","0","237800","1475213","横浜市県民税7月分","詳細記載紫音"
"1181","2025/07/25","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","預り金","住民税","","","対象外","","川崎市県民税7月分","0","23400","1451813","川崎市県民税7月分","詳細記載紫音"
"1182","2025/07/25","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","現金","","","","対象外","","SFF大阪大会ブース釣り銭引き落とし","0","58000","1393813","","詳細記載紫音"
"1183","2025/07/25","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","預り金","住民税","","","対象外","","神成栞_住民税一括納付
","0","61600","1332213","",""
"753","2025/07/28","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","リース料","","YouTube","","課仕 10%","","DF.ALL_社用車リース代","0","63470","1268743","",""
"764","2025/07/28","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","未払金","三井住友カードご本人/代表会員Visaオーナーズ","","","対象外","","三井住友カード_11月◯日～◇月◇日","0","18068","1250675","",""
"1165","2025/07/31","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","諸口","","","","","","社会保険料_6月分","0","586448","664227","",""
"1131","2025/08/02","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","107094","0","771321","",""
"748","2025/08/05","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","支払手数料","芝信金ネットバンキング","本社共通費","","課仕 10%","","手数料","0","1650","769671","",""
"1184","2025/08/07","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","現金","","","","対象外","","SFF千葉大会物販釣り銭用：58,000円
SFF千葉大会物当日チケット用釣り銭：22,000円
SFF神奈川大会物販釣り銭用：58,000円
SFF神奈川大会物当日チケット用釣り銭：22,000円","0","160000","609671","","詳細記載紫音"
"1132","2025/08/08","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","55917","0","665588","",""
"1067","2025/08/12","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","預り金","毎月／所得税","","","対象外","","鶴見税務署_源泉徴収　","0","141644","523944","",""
"1133","2025/08/15","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","27113","0","551057","",""
"1209","2025/08/20","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","paidy","","","対象外","","PAIDY_アパレル売上
","33509","0","584566","",""
"755","2025/08/22","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","未払金","鈴木社労士","","","対象外","","鈴木社労士報酬_7月分
","0","19958","564608","",""
"1134","2025/08/22","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","91591","0","656199","",""
"765","2025/08/26","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","未払金","三井住友カードご本人/代表会員Visaオーナーズ","","","対象外","","三井住友カード_～7/5","0","6088","650111","",""
"754","2025/08/27","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","リース料","","YouTube","","課仕 10%","","DF.ALL_社用車リース代","0","63470","586641","",""
"771","2025/08/28","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","普通預金","法人楽天銀行第三営業支店円預金(普通預金)7236500","","","対象外","","芝信用金庫 大森駅前支店 普通預金 0043055 カ)シエイプ フイツト(依頼人名:カ)シエイプ フイツト 振込予定日:2025年08月28日 管理番号:20250828-41707720)","2000000","0","2586641","",""
"1185","2025/08/28","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","預り金","住民税","","","対象外","","川崎市県民税8月分","0","23400","2563241","川崎市県民税8月分","詳細記載紫音"
"1186","2025/08/28","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","預り金","住民税","","","対象外","","CD065","0","237800","2325441","横浜市県民税8月分","詳細記載紫音"
"1135","2025/08/29","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","44296","0","2369737","",""
"1187","2025/08/29","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","現金","","","","対象外","","CD059","0","778712","1591025","",""
"1166","2025/09/01","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","未払金","年金事務所","","","対象外","","社会保険料_7月分","0","586448","1004577","",""
"749","2025/09/05","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","支払手数料","芝信金ネットバンキング","本社共通費","","課仕 10%","","手数料","0","1650","1002927","",""
"1194","2025/09/05","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","47650","0","1050577","",""
"1066","2025/09/10","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","預り金","毎月／所得税","","","対象外","","鶴見税務署_源泉徴収","0","335415","715162","",""
"1195","2025/09/12","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","21639","0","736801","",""
"1256","2025/09/16","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","普通預金","法人楽天銀行第三営業支店円預金(普通預金)7236500","","","対象外","","資金移動","3000000","0","3736801","",""
"1257","2025/09/16","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","現金","","","","対象外","","CD059","0","700000","3036801","",""
"1319","2025/09/19","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","5004","0","3041805","",""
"1320","2025/09/21","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","受取利息","","本社共通費","","非売","","決算利息　芝信用金庫","1520","0","3043325","",""
"1322","2025/09/22","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","未払金","鈴木社労士","","","対象外","","鈴木社労士報酬_8月分
","0","39916","3003409","",""
"1325","2025/09/22","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","paidy","","","対象外","","PAIDY_アパレル売上","32611","0","3036020","",""
"1327","2025/09/25","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","現金","","","","対象外","","AD065","144000","0","3180020","",""
"1328","2025/09/25","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","現金","","","","対象外","","AD065","475540","0","3655560","",""
"1318","2025/09/26","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","20499","0","3676059","",""
"1323","2025/09/26","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","未払金","三井住友カードご本人/代表会員Visaオーナーズ","","","対象外","","三井住友カード_～8/11","0","30768","3645291","",""
"1324","2025/09/29","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","リース料","","YouTube","","課仕 10%","","DF.ALL_社用車リース代","0","63470","3581821","",""
"1326","2025/09/30","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","諸口","","","","","","社会保険料_8月分","0","586448","2995373","",""
"1428","2025/10/03","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","93559","0","3088932","",""
"1429","2025/10/06","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","支払手数料","芝信金ネットバンキング","本社共通費","","課仕 10%","","手数料","0","1650","3087282","",""
"1427","2025/10/10","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","33535","0","3120817","",""
"1426","2025/10/17","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","4038","0","3124855","",""
"1850","2025/10/20","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","paidy","","","対象外","","PAIDY_アパレル売上","17516","0","3142371","",""
"1851","2025/10/22","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","未払金","鈴木社労士","","","対象外","","鈴木社労士報酬_9月分
","0","19958","3122413","",""
"1852","2025/10/24","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上

","60981","0","3183394","",""
"1860","2025/10/24","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","現金","","","","対象外","","AD065","13732","0","3197126","",""
"1861","2025/10/24","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","現金","","","","対象外","","CD065","0","25000","3172126","",""
"1862","2025/10/24","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","会議費","","ShapeFitGym","","課仕 10%","","11月30日Shaper交流会の会場費。決済時に誤って社長個人カードにて決済。 　10/24に芝信用金庫から会場費を引き出し","0","28573","3143553","",""
"1863","2025/10/24","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","現金","","","","対象外","","CD065","0","100000","3043553","",""
"1883","2025/10/27","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","リース料","","YouTube","","課仕 10%","","DF.ALL_社用車リース代","0","63470","2980083","",""
"1884","2025/10/27","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","未払金","三井住友カードご本人/代表会員Visaオーナーズ","","","対象外","","三井住友カード_～9/19","0","524765","2455318","",""
"1897","2025/10/31","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","諸口","","","","","","社会保険料_9月分","0","425673","2029645","",""
"1898","2025/10/31","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","仮払消費税","","","","対象外","","消費税及地方消費税_中間申告","0","686100","1343545","",""
"1899","2025/10/31","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","28883","0","1372428","",""
"1936","2025/11/05","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","支払手数料","芝信金ネットバンキング","本社共通費","","課仕 10%","","手数料","0","1650","1370778","",""
"1941","2025/11/07","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上","19579","0","1390357","",""
"2107","2025/11/14","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上

","56870","0","1447227","",""
"2119","2025/11/20","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","paidy","","","対象外","","ペイデイ_アパレル売上","15905","0","1463132","",""
"2108","2025/11/21","普通預金","【法人】芝信用金庫大森駅前普通0043055","","","対象外","","売掛金","Shopify","アパレル","","対象外","","SHOPIFY_アパレル売上

","29374","0","1492506","",""
